"name"	"taxRank"	"taxID"	"Max"	"CTX02_d0_M_report.txt.cladeReads.."	"CTX02_dC_M_report.txt.cladeReads.."	"CTX02_dT_M_report.txt.cladeReads.."	"CTX03_d0_M_report.txt.cladeReads.."	"CTX03_dC_M_report.txt.cladeReads.."	"CTX03_dT_M_report.txt.cladeReads.."	"CTX04_d0_M_report.txt.cladeReads.."	"CTX04_dC_M_report.txt.cladeReads.."	"CTX04_dT_M_report.txt.cladeReads.."	"CTX05_d0_M_report.txt.cladeReads.."	"CTX05_dC_M_report.txt.cladeReads.."	"CTX05_dT_M_report.txt.cladeReads.."	"CTX06_d0_M_report.txt.cladeReads.."	"CTX06_dC_M_report.txt.cladeReads.."	"CTX06_dT_M_report.txt.cladeReads.."	"lineage"
"Commensalibacter sp. MX01"	"S"	1208583	0.004256	0.003532	0.002575	0.003347	0.002596	0.001534	0.004256	0.003191	0.00284	0.002677	0.003586	0.002128	0.003374	0.003748	0.003534	0.002053	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Commensalibacter>unclassified&nbsp;Commensalibacter"
"Commensalibacter intestini"	"S"	479936	0.007974	0.003532	0.00323	0.007974	0.002694	0.001523	0.003912	0.004548	0.003225	0.006421	0.0047	0.002489	0.003466	0.003253	0.003119	0.002644	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Commensalibacter"
"Bombella sp. ESL0368"	"S"	2676441	0.2606	0.04762	0.06712	0.03635	0.08641	0.00878	0.002221	0.05118	0.01123	0.2606	0.02294	0.03965	0.006281	0.05078	0.04197	0.004367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Bombella>unclassified&nbsp;Bombella"
"Bombella sp. ESL0385"	"S"	2676446	0.04799	0.01108	0.004729	0.001357	0.001308	0.001708	0.004943	0.02428	0.009317	0.04799	0.005613	0.01443	0.002046	0.00321	0.01162	0.01315	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Bombella>unclassified&nbsp;Bombella"
"Bombella intestini"	"S"	1539051	0.02472	0.001597	0.001615	0.002576	0.001581	0.001088	0.0007138	0.02472	0.00146	0.003651	0.00127	0.01662	0.002038	0.00293	0.01629	0.005469	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Bombella"
"Bartonella apis"	"S"	1686310	3.084	0.01309	0.006533	0.005892	0.004197	0.04356	0.008221	0.02624	0.05295	0.8513	1.213	0.007606	0.1891	0.2732	3.084	0.04632	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bartonellaceae>Bartonella"
"Lactobacillus mellis"	"S"	1218508	19.57	12.77	10.95	14.7	14.51	14.11	19.57	12.23	14.39	9.763	16.64	18.76	9.819	8.847	15.58	15.01	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus sp. wkB8"	"S"	1545702	3.966	2.357	1.168	3.966	2.949	0.8766	1.682	3.173	2.521	1.737	0.6602	1.408	1.315	0.4762	0.7524	0.6675	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. wkB10"	"S"	1545701	1.394	1.167	0.7499	1.128	1.177	0.6962	0.7395	1.394	0.858	0.528	1.094	1.019	0.7188	0.8618	1.283	1.372	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. ESL0263"	"S"	2069350	5.074	1.111	1.824	1.43	1.372	1.576	2.835	2.775	1.722	3.801	2.703	1.161	5.074	2.051	0.8576	2.026	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
